PRPlots,Nursery,Pedigree,Source,Family,Level,SHGD_Donor,Haploids,Pollination,DH,Rate
1636,CONV_NUR2023,PHG39*Kitale II-B-8Y-1-B x  SHGD_097,2022-23MOB_PR1636,PHG39*KII,DH,97,8,1,0,0.00
1667,CONV_NUR2023,PHW52 * Kitale II-B-10Y-3-B x  SHGD_097,2022-23MOB_PR:1667,PHW52 * KII,DH,97,19,3,2,10.53
1668,CONV_NUR2023,PHG84*Kitale II-B-2Y-1-B x  SHGD_097,2022-23MOB_PR1668,PHG84*KII,DH,97,11,3,3,27.27
1669,CONV_NUR2023,PHZ51*Kitale II-B-8Y-5-B x  SHGD_097,2022-23MOB_PR:1669,PHZ51*KII,DH,97,21,5,0,0.00
169,CONV_NUR2023,B73*PH207-B-B-9-1-1-B-B X Mp705,2022MOB_PR:169,B73*PH207,DH,NONE,20,1,1,5.00
170,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_07,2022MOB_PR:170,LH82*PHG35,DH,97,16,5,3,18.75
171,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_16,2022MOB_PR:171,LH82*PHG35,DH,97,23,3,1,4.35
172,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-097cyc2_DH_10,2022MOB_PR:172,LH82*PHG35,DH,97,9,1,1,11.11
177,CONV_NUR2023,B73*PHG39-B-B-18-1-1-B-B X Mp705,2022MOB_PR:177,B73*PHG39,DH,NONE,18,0,0,0.00
178,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_08,2022MOB_PR:178,LH82*PHG35,DH,97,26,4,2,7.69
179,CONV_NUR2023,LH82*PHG35-B-B-13-1-1 X BS39-097cyc2_DH_17,2022MOB_PR:179,LH82*PHG35,DH,97,20,0,0,0.00
180,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-097cyc2_DH_14,2022MOB_PR:180,LH82*PHG35,DH,97,31,2,0,0.00
185,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-097cyc2_DH_17,2022MOB_PR:185,LH82*PHG35,DH,97,10,0,0,0.00
186,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-243cyc2_DH_15,2022MOB_PR:186,LH82*PHG35,DH,243,10,5,1,10.00
187,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_10,2022MOB_PR:187,LH82*PHG35,DH,97,19,7,4,21.05
188,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_10,2022MOB_PR:188,LH82*PHG35,DH,243,31,5,1,3.23
193,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-243cyc2_DH_04,2022MOB_PR:193,LH82*PHG35,DH,243,5,1,0,0.00
194,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_01,2022MOB_PR:194,LH82*PHG35,DH,97,32,7,1,3.13
195,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_14,2022MOB_PR:195,LH82*PHG35,DH,97,28,6,1,3.57
196,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_11,2022MOB_PR:196,LH82*PHG35,DH,243,23,10,2,8.70
201,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-243cyc2_DH_06,2022MOB_PR:201,LH82*PHG35,DH,243,7,2,0,0.00
202,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_04,2022MOB_PR:202,LH82*PHG35,DH,97,24,8,2,8.33
203,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-097cyc2_DH_17,2022MOB_PR:203,LH82*PHG35,DH,97,28,4,1,3.57
204,CONV_NUR2023,LH82*PHG35-B-B-27-1-1-B-B X BS39-243cyc2_DH_15,2022MOB_PR:204,LH82*PHG35,DH,243,14,8,2,14.29
209,CONV_NUR2023,LH82*PHG35-B-B-2-1-1-B-B X BS39-243cyc2_DH_07,2022MOB_PR:209,LH82*PHG35,DH,243,17,4,1,5.88
